Time	Open	High	Low	Close	Volume
2013-12-20 03:00:00	104.34	104.427	104.316	104.39	2985
2013-12-20 04:00:00	104.389	104.469	104.369	104.46	4006
2013-12-20 05:00:00	104.46	104.467	104.392	104.422	3159
2013-12-20 06:00:00	104.423	104.588	104.339	104.392	7740
2013-12-20 07:00:00	104.392	104.52	104.35	104.422	4828
2013-12-20 08:00:00	104.422	104.517	104.409	104.494	3804
2013-12-20 09:00:00	104.494	104.507	104.433	104.464	3331
2013-12-20 10:00:00	104.464	104.481	104.394	104.432	3268
2013-12-20 11:00:00	104.433	104.463	104.399	104.452	2631
2013-12-20 12:00:00	104.453	104.485	104.433	104.461	3683
2013-12-20 13:00:00	104.461	104.634	104.437	104.499	7882
2013-12-20 14:00:00	104.499	104.505	104.35	104.368	6452
2013-12-20 15:00:00	104.367	104.383	103.996	104.085	11849
2013-12-20 16:00:00	104.086	104.134	103.858	104.073	9083
2013-12-20 17:00:00	104.074	104.099	103.984	104.036	3127
2013-12-20 18:00:00	104.041	104.092	104.015	104.086	1787
2013-12-20 19:00:00	104.084	104.099	104.039	104.047	1839
2013-12-20 20:00:00	104.047	104.091	104.03	104.062	1970
2013-12-20 21:00:00	104.062	104.1	104.028	104.028	1763
2013-12-22 22:00:00	103.99	104.058	103.978	104.043	1173
2013-12-22 23:00:00	104.043	104.063	104.014	104.033	1351
2013-12-23 00:00:00	104.034	104.064	103.998	104.061	2017
2013-12-23 01:00:00	104.063	104.073	104.039	104.055	1008
2013-12-23 02:00:00	104.054	104.063	104.024	104.057	855
2013-12-23 03:00:00	104.06	104.063	104.043	104.058	802
2013-12-23 04:00:00	104.056	104.062	104.021	104.026	745
2013-12-23 05:00:00	104.027	104.052	104.01	104.05	1480
2013-12-23 06:00:00	104.051	104.053	104.022	104.041	864
2013-12-23 07:00:00	104.042	104.048	103.928	103.994	2289
2013-12-23 08:00:00	103.994	104.01	103.945	103.989	2741
2013-12-23 09:00:00	103.992	104.036	103.93	103.977	2934
2013-12-23 10:00:00	103.977	103.981	103.93	103.933	1676
2013-12-23 11:00:00	103.933	103.937	103.847	103.865	2011
2013-12-23 12:00:00	103.868	103.889	103.77	103.848	2932
2013-12-23 13:00:00	103.847	103.944	103.846	103.938	3150
2013-12-23 14:00:00	103.937	104.072	103.923	104.021	3952
2013-12-23 15:00:00	104.021	104.114	103.991	103.994	4566
2013-12-23 16:00:00	103.995	104.094	103.992	104.064	3250
2013-12-23 17:00:00	104.064	104.108	104.007	104.025	1544
2013-12-23 18:00:00	104.024	104.058	103.994	104.02	1686
2013-12-23 19:00:00	104.022	104.096	104.008	104.086	1591
2013-12-23 20:00:00	104.086	104.088	104.052	104.068	1943
2013-12-23 21:00:00	104.061	104.121	104.06	104.103	1258
2013-12-23 22:00:00	104.099	104.23	104.083	104.192	1449
2013-12-23 23:00:00	104.191	104.206	104.133	104.179	2013
2013-12-24 00:00:00	104.176	104.29	104.158	104.271	4560
2013-12-24 01:00:00	104.271	104.411	104.245	104.363	6326
2013-12-24 02:00:00	104.363	104.367	104.302	104.334	1784
2013-12-24 03:00:00	104.335	104.399	104.332	104.343	2426
2013-12-24 04:00:00	104.343	104.372	104.32	104.361	2711
2013-12-24 05:00:00	104.356	104.374	104.169	104.198	4240
2013-12-24 06:00:00	104.2	104.245	104.168	104.242	2282
2013-12-24 07:00:00	104.242	104.244	104.142	104.185	2369
2013-12-24 08:00:00	104.186	104.264	104.176	104.242	2478
2013-12-24 09:00:00	104.24	104.295	104.23	104.243	1634
2013-12-24 10:00:00	104.243	104.346	104.243	104.337	1824
2013-12-24 11:00:00	104.337	104.337	104.271	104.285	1129
2013-12-24 12:00:00	104.286	104.295	104.237	104.252	1349
2013-12-24 13:00:00	104.251	104.333	104.248	104.317	2759
2013-12-24 14:00:00	104.32	104.353	104.297	104.33	1911
2013-12-24 15:00:00	104.329	104.351	104.274	104.276	1801
2013-12-24 16:00:00	104.279	104.3	104.255	104.263	1678
2013-12-24 17:00:00	104.265	104.296	104.219	104.24	2200
2013-12-24 18:00:00	104.241	104.305	104.241	104.296	1624
2013-12-24 19:00:00	104.298	104.302	104.222	104.25	1645
2013-12-24 20:00:00	104.256	104.281	104.246	104.279	371
2013-12-24 21:00:00	104.278	104.354	104.169	104.209	931
2013-12-24 22:00:00	104.209	104.358	104.209	104.323	620
2013-12-24 23:00:00	104.334	104.335	104.259	104.27	624
2013-12-25 00:00:00	104.27	104.347	104.264	104.324	1685
2013-12-25 01:00:00	104.326	104.364	104.313	104.348	2215
2013-12-25 02:00:00	104.351	104.377	104.325	104.343	1958
2013-12-25 03:00:00	104.343	104.366	104.333	104.352	1151
2013-12-25 04:00:00	104.352	104.422	104.338	104.359	1364
2013-12-25 05:00:00	104.359	104.41	104.344	104.395	1211
2013-12-25 06:00:00	104.395	104.479	104.362	104.446	2025
2013-12-25 07:00:00	104.451	104.453	104.397	104.419	710
2013-12-25 21:00:00	104.362	104.362	104.362	104.362	1
2013-12-25 22:00:00	104.343	104.447	104.343	104.432	677
2013-12-25 23:00:00	104.432	104.573	104.429	104.512	2339
2013-12-26 00:00:00	104.512	104.838	104.506	104.77	8617
2013-12-26 01:00:00	104.774	104.83	104.626	104.714	7129
2013-12-26 02:00:00	104.714	104.759	104.682	104.751	4199
2013-12-26 03:00:00	104.751	104.77	104.647	104.72	4239
2013-12-26 04:00:00	104.724	104.75	104.698	104.711	2609
2013-12-26 05:00:00	104.711	104.762	104.687	104.74	3970
2013-12-26 06:00:00	104.74	104.829	104.716	104.791	4557
2013-12-26 07:00:00	104.789	104.801	104.756	104.77	4733
